#ID;Name;Likelihood;Severity;Prerequisites;Consequences;Weaknesses;Mitigations
628;Carry-Off GPS Attack;low;high;target_relying_on_valid_GPS_signal;unspecified;insufficient_Verification_of_Data_Authenticity;unspecified
599;Terrestrial Jamming;low;high;none;deny_availability_of_satellite_communications;improper_Authentication;unspecified
615;Evil Twin Wi-Fi Attack;medium;low;none;read_data;channel_Accessible_by_Non_Endpoint;commercial_defensive_technology_that_monitors_for_rogue_WiFi_access_points_man_in_the_middle_attacks_and_anomalous_activity_with_the_mobile_device_baseband_radios
617;Cellular Rogue Base Station;low;low;none;read_data;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;passively_monitor_cellular_network_connection_for_real_time_threat_detection_and_logging_for_manual_review
158;Sniffing Network Traffic;high;medium;target_communicating_on_a_network_protocol_visible_by_a_network_sniffing_application, target_sender_recipient_adversary_must_be_on_same_subnet;read_data;missing_Encryption_of_Sensitive_Data;obfuscate_network_traffic_through_encryption_to_prevent_its_readability_by_network_sniffers, employ_appropriate_levels_of_segmentation_to_your_network_in_accordance_with_best_practices
31;Accessing Intercepting Modifying HTTP Cookies;high;high;http_daemon_relies_on_cookies, cookies_contain_sensitive_information, cookie_is_contained_in_reply_to_adversary;read_data, modify_data, gain_privileges;missing_Encryption_of_Sensitive_Data, improper_Input_Validation, cleartext_Storage_of_Sensitive_Information_in_a_Cookie, session_Fixation, broken_Authentication_and_Session_Management, client_Side_Enforcement_of_Server_Side_Security, external_Control_of_Critical_State_Data;validation_for_cookies, generate_and_validate_MAC_for_cookies, use_SSL_TLS_to_protect_cookie_in_transit, ensure_the_web_server_implements_all_relevant_security_patches
57;Utilizing REST's Trust in the System Resource to Obtain Sensitive Data;medium;high;opportunity_to_intercept_must_exist_beyond_the_point_where_SSL_is_terminated, insert_listener_actively_in_client_server_communication_path, insert_listener_passively_in_client_server_communication_path;gain_privileges;channel_Accessible_by_Non_Endpoint, improper_Authentication, broken_Authentication_and_Session_Management, protection_Mechanism_Failure;implement_message_level_security_such_as_HMAC_in_the_HTTP_communication, utilize_defense_in_depth_do_not_rely_on_single_security_mechanism_like_SSL, enforce_principle_of_least_privilege
609;Cellular Traffic Intercept;medium;low;none;read_data;missing_Encryption_of_Sensitive_Data;encryption_of_data_packets_emanating_from_smartphone_to_retransmission_device_with_Suite_B_cryptography
65;Sniff Application Code;low;high;attacker_must_have_ability_to_place_themself_in_the_communication_path_between_client_and_server, targeted_application_must_receive_application_code_from_server, attacker_must_be_able_to_employ_sniffer_on_the_network_without_being_detected;read_data, gain_privileges;cleartext_Transmission_of_Sensitive_Information, missing_Encryption_of_Sensitive_Data, cleartext_Storage_of_Sensitive_Information_in_Executable, protection_Mechanism_Failure, insecure_Cryptographic_Storage;use_SSL_SSH_SCP_to_encrypt_all_communication_between_client_and_server
634;Probe Audio and Video Peripherals;low;high;knowledge_of_target_devices_or_application_vulnerabilities, adversary_must_be_able_to_place_malicious_code_on_the_target_device;read_data;privilege_Defined_With_Unsafe_Actions;use_allowlist_policy_to_prevent_unknown_code_from_executing_on_system, patch_installed_applications_as_soon_as_new_updates_become_available
612;WiFi MAC Address Tracking;low;low;none;unspecified;insertion_of_Sensitive_Information_Into_Sent_Data, channel_Accessible_by_Non_Endpoint;automatic_randomization_of_WiFi_MAC_addresses, frequent_changing_of_handset_and_retransmission_device
613;WiFi SSID Tracking;medium;low;none;unspecified;insertion_of_Sensitive_Information_Into_Sent_Data, channel_Accessible_by_Non_Endpoint;do_not_enable_the_feature_of_Hidden_SSIDs, frequently_change_SSID_to_new_and_unrelated_values
618;Cellular Broadcast Message Request;high;low;attacker_must_have_knowledge_of_targets_mobile_phone_number;unspecified;insertion_of_Sensitive_Information_Into_Sent_Data;frequent_changing_of_mobile_number
619;Signal Strength Tracking;high;low;none;unspecified;insertion_of_Sensitive_Information_Into_Sent_Data;unspecified
287;TCP SYN Scan;medium;low;on_Unix_and_Linux_raw_socket_manipulations_require_root_privileges;bypass_protection_mechanism, hide_activities;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;unspecified
301;TCP Connect Scan;medium;low;adversary_needs_logical_access_to_the_target_network, requires_ability_to_connect_to_available_port_and_complete_three_way_handshake;read_data;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;employ_robust_network_defense_posture_that_includes_IDS_IPS_system
302;TCP FIN Scan;medium;low;on_Unix_and_Linux_raw_socket_manipulations_require_root_privileges;bypass_protection_mechanism, hide_activities;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;use_IDS_IPS_system_with_heuristic_algorithms
303;TCP Xmas Scan;medium;low;adversary_needs_logical_access_to_the_target_network, requires_the_use_of_raw_sockets, on_Unix_and_Linux_raw_socket_manipulations_require_root_privileges;bypass_protection_mechanism, hide_activities, unreliable_execution;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;employ_robust_network_defensive_posture_that_includes_managed_IDS_IP
304;TCP Null Scan;medium;low;adversary_needs_logical_access_to_the_target_network, requires_the_use_of_raw_sockets, on_Unix_and_Linux_raw_socket_manipulations_require_root_privileges;bypass_protection_mechanism, hide_activities;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;employ_robust_network_defensive_posture_that_includes_managed_IDS_IP
305;TCP ACK Scan;medium;low;adversary_needs_logical_access_to_the_target_network, requires_the_use_of_raw_sockets, on_Unix_and_Linux_raw_socket_manipulations_require_root_privileges;bypass_protection_mechanism, hide_activities;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;unspecified
306;TCP Window Scan;medium;low;requires_the_use_of_raw_sockets, on_Unix_and_Linux_raw_socket_manipulations_require_root_privileges;bypass_protection_mechanism, hide_activities;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;unspecified
307;TCP RPC Scan;medium;low;no_special_privileges_when_it_is_performed_via_native_system_utility;bypass_protection_mechanism, hide_activities;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;unspecified
308;UDP Scan;medium;low;ability_to_send_UDP_datagrams_to_host_and_receive_ICMP_error_messages_from_that_host;bypass_protection_mechanism, hide_activities;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;use_firewalls_or_ACLs_which_block_egress_ICMP_error_types
463;Padding Oracle Crypto Attack;low;high;inproperly_authenticatation_prior_to_performing_decryption_operation;unspecified;generation_of_Error_Message_Containing_Sensitive_Information, covert_Channel, improper_Verification_of_Cryptographic_Signature, improper_Validation_of_Integrity_Check_Value, incorrect_Behavior_Order;use_message_authentication_code_or_another_mechanism_to_perform_verification_of_message_authenticity_or_integrity_prior_to_decryption, do_not_leak_information_back_to_user_as_to_any_cryptography_encountered_during_decryption
608;Cryptanalysis of Cellular Encryption;high;high;none;unspecified;use_of_a_Broken_or_Risky_Cryptographic_Algorithm;use_of_hardened_baseband_firmware_on_retransmission_device_to_detect_and_prevent_the_use_of_weak_cellular_encryption, monitor_cellular_RF_interface_to_detect_the_usage_of_weaker_than_expected_cellular_encryption
219;XML Routing Detour Attacks;high;medium;targeted_system_must_have_multiple_stages_processing_of_XML_content;modify_data, read_data, gain_privileges, bypass_protection_mechanism;unintended_Proxy_or_Intermediary, externally_Controlled_Reference_to_a_Resource_in_Another_Sphere;specify_maximum_number_intermediate_nodes_for_the_request_and_require_SSL_connections_with_mutual_authentication, use_SSL_for_connections_between_all_parties_with_mutual_authentication
385;Transaction or Event Tampering via Application API Manipulation;medium;medium;targeted_software_is_utilizing_application_framework_APIs;unspecified;modification_of_Assumed_Immutable_Data_MAID, insufficient_Verification_of_Data_Authenticity, origin_Validation_Error, client_Side_Enforcement_of_Server_Side_Security, missing_Encryption_of_Sensitive_Data;unspecified
389;Content Spoofing Via Application API Manipulation;low;low;targeted_software_is_utilizing_application_framework_APIs;unspecified;missing_Support_for_Integrity_Check;unspecified
387;Navigation Remapping To Propagate Malicious Content;high;medium;targeted_software_is_utilizing_application_framework_APIs;unspecified;modification_of_Assumed_Immutable_Data_MAID, insufficient_Verification_of_Data_Authenticity, origin_Validation_Error, client_Side_Enforcement_of_Server_Side_Security, missing_Encryption_of_Sensitive_Data;unspecified
388;Application API Button Hijacking;high;medium;targeted_software_is_utilizing_application_framework_APIs;unspecified;modification_of_Assumed_Immutable_Data_MAID, insufficient_Verification_of_Data_Authenticity, origin_Validation_Error, client_Side_Enforcement_of_Server_Side_Security, missing_Encryption_of_Sensitive_Data;unspecified
466;Leveraging Active Man in the Middle Attacks to Bypass Same Origin Policy;medium;medium;victim_and_the_attacker_are_in_environment_where_active_man_in_the_middle_attack_is_possible, victim_visits_website_that_does_not_use_TLS_SSL;read_data, execute_unauthorized_commands;channel_Accessible_by_Non_Endpoint;tunnel_communications_through_secure_proxy, trust_level_separation_for_privileged_or_non_privileged_interactions
616;Establish Rogue Location;medium;medium;expected_resource_to_be_available_to_user;read_data;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;passively_monitor_cellular_network_connection_for_real_time_threat_detection_and_logging_for_manual_review
157;Sniffing Attacks;medium;medium;target_data_stream_must_be_transmitted_on_a_medium_to_which_the_adversary_has_access;read_data;missing_Encryption_of_Sensitive_Data;encrypt_sensitive_information_when_transmitted_on_insecure_mediums_to_prevent_interception
97;Cryptanalysis;low;high;target_software_utilizes_some_sort_of_cryptographic_algorithm, attacker_has_access_to_the_ciphertext;read_data;use_of_a_Broken_or_Risky_Cryptographic_Algorithm, use_of_a_Risky_Cryptographic_Primitive, use_of_Predictable_Algorithm_in_Random_Number_Generator, cryptographic_Operations_are_run_Before_Supporting_Units_are_Ready;use_proven_cryptographic_algorithms_with_recommended_key_sizes, ensure_that_the_algorithms_are_used_properly
90;Reflection Attack in Authentication Protocol;high;high;attacker_must_have_direct_access_to_the_target_server;gain_privileges, bypass_protection_mechanism, read_data;broken_Authentication_and_Session_Management, incorrect_Implementation_of_Authentication_Algorithm;server_must_initiate_handshake_by_issuing_challenge, introducing_a_random_nonce_with_each_new_connection
221;Data Serialization External Entities Blowup;high;medium;server_that_has_an_implementation_that_accepts_entities_containing_URI_values;execute_unauthorized_commands, resource_consumption;improper_Restriction_of_XML_External_Entity_Reference;implement_custom_resolver_that_has_request_timeout_and_restrict_resources_it_can_retrieve_locally
651;Eavesdropping;low;medium;physical_proximity_to_the_targets_environment;read_data;exposure_of_Sensitive_Information_to_an_Unauthorized_Actor;use_of_antivirus_and_other_security_monitoring_and_detecting_tools, physically_disable_microphone_on_your_machine
39;Manipulating Opaque Client Based Data Tokens;high;medium;attacker_has_some_access_to_the_system, some_data_must_be_held_client_side;modify_data, gain_privileges;missing_Support_for_Integrity_Check, cleartext_Storage_of_Sensitive_Information_in_a_Cookie, improper_Authorization, session_Fixation, improper_Handling_of_Parameters;protect_client_side_authentication_tokens_for_confidentiality_and_integrity, make_sure_that_session_tokens_use_good_source_of_randomness, perform_validation_on_the_server_side